ACC_STATION_CODE,DATE_TYPE,TIME_ATTRIBUTE,BEGIN_TIME,END_TIME,VERSION_ID
8921,13,1,240,480,499                 
8921,13,2,480,600,499                 
8921,13,3,600,960,499                 
8921,13,4,960,1080,499                 
8921,13,5,1080,1440,499                 
8921,14,1,240,420,499                 
8921,14,2,420,540,499                 
8921,14,3,540,960,499                 
8921,14,4,960,1200,499                 
8921,14,5,1200,1440,499                 
8921,15,1,240,480,499                 
8921,15,2,480,600,499                 
8921,15,3,600,960,499                 
8921,15,4,960,1080,499                 
8921,15,5,1080,1440,499                 
8923,0,1,240,420,499                 
8923,0,2,420,540,499                 
8923,0,3,540,1020,499                 
8923,0,4,1020,1140,499                 
8923,0,5,1140,1440,499                 
8923,1,1,240,480,499                 
8923,1,2,480,600,499                 
8923,1,3,600,960,499                 
8923,1,4,960,1080,499                 
8923,1,5,1080,1440,499                 
8923,2,1,240,420,499                 
8923,2,2,420,540,499                 
8923,2,3,540,960,499                 
8923,2,4,960,1200,499                 
8923,2,5,1200,1440,499                 
8923,3,1,240,480,499                 
8923,3,2,480,600,499                 
8923,3,3,600,960,499                 
8923,3,4,960,1080,499                 
8923,3,5,1080,1440,499                 
8923,4,1,240,420,499                 
8923,4,2,420,540,499                 
8923,4,3,540,1020,499                 
8923,4,4,1020,1140,499                 
8923,4,5,1140,1440,499                 
8923,5,1,240,480,499                 
8923,5,2,480,600,499                 
8923,5,3,600,960,499                 
8923,5,4,960,1080,499                 
8923,5,5,1080,1440,499                 
8923,6,1,240,420,499                 
8923,6,2,420,540,499                 
8923,6,3,540,960,499                 
8923,6,4,960,1200,499                 
8923,6,5,1200,1440,499                 
8923,7,1,240,480,499                 
8923,7,2,480,600,499                 
8923,7,3,600,960,499                 
8923,7,4,960,1080,499                 
8923,7,5,1080,1440,499                 
8923,8,1,240,420,499                 
8923,8,2,420,540,499                 
8923,8,3,540,1020,499                 
8923,8,4,1020,1140,499                 
8923,8,5,1140,1440,499                 
8923,9,1,240,480,499                 
8923,9,2,480,600,499                 
8923,9,3,600,960,499                 
8923,9,4,960,1080,499                 
8923,9,5,1080,1440,499                 
8923,10,1,240,420,499                 
8923,10,2,420,540,499                 
8923,10,3,540,960,499                 
8923,10,4,960,1200,499                 
8923,10,5,1200,1440,499                 
8923,11,1,240,480,499                 
8923,11,2,480,600,499                 
8923,11,3,600,960,499                 
8923,11,4,960,1080,499                 
8923,11,5,1080,1440,499                 
8923,12,1,240,420,499                 
8923,12,2,420,540,499                 
8923,12,3,540,1020,499                 
8923,12,4,1020,1140,499                 
8923,12,5,1140,1440,499                 
8923,13,1,240,480,499                 
8923,13,2,480,600,499                 
8923,13,3,600,960,499                 
8923,13,4,960,1080,499                 
8923,13,5,1080,1440,499                 
8923,14,1,240,420,499                 
8923,14,2,420,540,499                 
8923,14,3,540,960,499                 
8923,14,4,960,1200,499                 
8923,14,5,1200,1440,499                 
8923,15,1,240,480,499                 
8923,15,2,480,600,499                 
8923,15,3,600,960,499                 
8923,15,4,960,1080,499                 
8923,15,5,1080,1440,499                 
8925,0,1,240,420,499                 
8925,0,2,420,540,499                 
8925,0,3,540,1020,499                 
8925,0,4,1020,1140,499                 
8925,0,5,1140,1440,499                 
8925,1,1,240,480,499                 
8925,1,2,480,600,499                 
8925,1,3,600,960,499                 
8925,1,4,960,1080,499                 
8925,1,5,1080,1440,499                 
8925,2,1,240,420,499                 
8925,2,2,420,540,499                 
8925,2,3,540,960,499                 
8925,2,4,960,1200,499                 
8925,2,5,1200,1440,499                 
8925,3,1,240,480,499                 
8925,3,2,480,600,499                 
8925,3,3,600,960,499                 
8925,3,4,960,1080,499                 
8925,3,5,1080,1440,499                 
8925,4,1,240,420,499                 
8925,4,2,420,540,499                 
8925,4,3,540,1020,499                 
8925,4,4,1020,1140,499                 
8925,4,5,1140,1440,499                 
8925,5,1,240,480,499                 
8925,5,2,480,600,499                 
8925,5,3,600,960,499                 
8925,5,4,960,1080,499                 
8925,5,5,1080,1440,499                 
8925,6,1,240,420,499                 
8925,6,2,420,540,499                 
8925,6,3,540,960,499                 
8925,6,4,960,1200,499                 
8925,6,5,1200,1440,499                 
8925,7,1,240,480,499                 
8925,7,2,480,600,499                 
8925,7,3,600,960,499                 
8925,7,4,960,1080,499                 
8925,7,5,1080,1440,499                 
8925,8,1,240,420,499                 
8925,8,2,420,540,499                 
8925,8,3,540,1020,499                 
8925,8,4,1020,1140,499                 
8925,8,5,1140,1440,499                 
8925,9,1,240,480,499                 
8925,9,2,480,600,499                 
8925,9,3,600,960,499                 
8925,9,4,960,1080,499                 
8925,9,5,1080,1440,499                 
8925,10,1,240,420,499                 
8925,10,2,420,540,499                 
8925,10,3,540,960,499                 
8925,10,4,960,1200,499                 
8925,10,5,1200,1440,499                 
8925,11,1,240,480,499                 
8925,11,2,480,600,499                 
8925,11,3,600,960,499                 
8925,11,4,960,1080,499                 
8925,11,5,1080,1440,499                 
8925,12,1,240,420,499                 
8925,12,2,420,540,499                 
8925,12,3,540,1020,499                 
8925,12,4,1020,1140,499                 
8925,12,5,1140,1440,499                 
8925,13,1,240,480,499                 
8925,13,2,480,600,499                 
8925,13,3,600,960,499                 
8925,13,4,960,1080,499                 
8925,13,5,1080,1440,499                 
8925,14,1,240,420,499                 
8925,14,2,420,540,499                 
8925,14,3,540,960,499                 
8925,14,4,960,1200,499                 
8925,14,5,1200,1440,499                 
8925,15,1,240,480,499                 
8925,15,2,480,600,499                 
8925,15,3,600,960,499                 
8925,15,4,960,1080,499                 
8925,15,5,1080,1440,499                 
8927,0,1,240,420,499                 
8927,0,2,420,540,499                 
8927,0,3,540,1020,499                 
8927,0,4,1020,1140,499                 
8927,0,5,1140,1440,499                 
8927,1,1,240,480,499                 
8927,1,2,480,600,499                 
8927,1,3,600,960,499                 
8927,1,4,960,1080,499                 
8927,1,5,1080,1440,499                 
8927,2,1,240,420,499                 
8927,2,2,420,540,499                 
8927,2,3,540,960,499                 
8927,2,4,960,1200,499                 
8927,2,5,1200,1440,499                 
8927,3,1,240,480,499                 
8927,3,2,480,600,499                 
8927,3,3,600,960,499                 
8927,3,4,960,1080,499                 
8927,3,5,1080,1440,499                 
8927,4,1,240,420,499                 
8927,4,2,420,540,499                 
8927,4,3,540,1020,499                 
8927,4,4,1020,1140,499                 
8927,4,5,1140,1440,499                 
8927,5,1,240,480,499                 
8927,5,2,480,600,499                 
8927,5,3,600,960,499                 
8927,5,4,960,1080,499                 
8927,5,5,1080,1440,499                 
8927,6,1,240,420,499                 
8927,6,2,420,540,499                 
8927,6,3,540,960,499                 
8927,6,4,960,1200,499                 
8927,6,5,1200,1440,499                 
8927,7,1,240,480,499                 
8927,7,2,480,600,499                 
8927,7,3,600,960,499                 
8927,7,4,960,1080,499                 
8927,7,5,1080,1440,499                 
8927,8,1,240,420,499                 
8927,8,2,420,540,499                 
8927,8,3,540,1020,499                 
8927,8,4,1020,1140,499                 
8927,8,5,1140,1440,499                 
8927,9,1,240,480,499                 
8927,9,2,480,600,499                 
8927,9,3,600,960,499                 
8927,9,4,960,1080,499                 
8927,9,5,1080,1440,499                 
8927,10,1,240,420,499                 
8927,10,2,420,540,499                 
8927,10,3,540,960,499                 
8927,10,4,960,1200,499                 
8927,10,5,1200,1440,499                 
8927,11,1,240,480,499                 
8927,11,2,480,600,499                 
8927,11,3,600,960,499                 
8927,11,4,960,1080,499                 
8927,11,5,1080,1440,499                 
8927,12,1,240,420,499                 
8927,12,2,420,540,499                 
8927,12,3,540,1020,499                 
8927,12,4,1020,1140,499                 
8927,12,5,1140,1440,499                 
8927,13,1,240,480,499                 
8927,13,2,480,600,499                 
8927,13,3,600,960,499                 
