VERSION_CODE,LINE_CODE,STATION_CODE,TCC_STATION_CODE,STATION_NAME,STATION_ERG_CODE,DOWN_SEQUENCE,IS_SHARE_LINE,STATION_TYPE,STATION_MODALITY,X_COORDINATE,Y_COORDINATE,SWITCH_CODE,IS_USE_STATE,IS_CA_OD_ROUTE,REMARK
CZ20181213006,1,103,0103,苹果园,150995203,23,,1,,15,388,,1,1,
CZ20181213006,1,104,0104,古城,150995204,22,,1,,38,405,,1,1,
CZ20181213006,1,105,0105,八角游乐园,150995205,21,,1,,61,421,,1,1,
CZ20181213006,1,106,0106,八宝山,150995206,20,,1,,85,421,,1,1,
CZ20181213006,1,107,0107,玉泉路,150995207,19,,1,,107,421,,1,1,
CZ20181213006,1,108,0108,五棵松,150995208,18,,1,,126,421,,1,1,
CZ20181213006,1,109,0109,万寿路,150995209,17,,1,,153,421,,1,1,
CZ20181213006,1,110,0110,公主坟,150995210,16,,2,,177,421,,1,1,
CZ20181213006,1,111,0111,军事博物馆,150995211,15,,2,,200,421,,1,1,
CZ20181213006,1,112,0112,木樨地,150995212,14,,1,,224,421,,1,1,
CZ20181213006,1,113,0113,南礼士路,150995213,13,,1,,249,421,,1,1,
CZ20181213006,1,114,0114,复兴门,150995214,12,,2,,276,421,,1,1,
CZ20181213006,1,115,0115,西单,150995215,11,,2,,319,421,,1,1,
CZ20181213006,1,116,0116,天安门西,150995216,10,,1,,351,421,,1,1,
CZ20181213006,1,117,0117,天安门东,150995217,9,,1,,385,421,,1,1,
CZ20181213006,1,118,0118,王府井,150995218,8,,1,,421,421,,1,1,
CZ20181213006,1,119,0119,东单,150995219,7,,2,,456,421,,1,1,
CZ20181213006,1,120,0120,建国门,150995220,6,,2,,491,421,,1,1,
CZ20181213006,1,121,0121,永安里,150995221,5,,1,,518,421,,1,1,
CZ20181213006,1,122,0122,国贸,150995222,4,,2,,556,421,,1,1,
CZ20181213006,1,123,0123,大望路,150995223,3,,2,,578,422,,1,1,
CZ20181213006,1,124,0124,四惠,150995224,2,,2,,602,434,,1,1,
CZ20181213006,1,125,0125,四惠东,150995225,1,,2,,625,434,,1,1,
CZ20181213006,2,201,0201,西直门,150995457,19,,2,,276,339,,1,1,
CZ20181213006,2,202,0202,车公庄,150995458,18,,2,,276,364,,1,1,
CZ20181213006,2,203,0203,阜成门,150995459,17,,1,,276,390,,1,1,
CZ20181213006,2,204,0204,复兴门,150995460,16,,2,,276,421,,1,1,
CZ20181213006,2,205,0205,长椿街,150995461,15,,1,,276,463,,1,1,
CZ20181213006,2,206,0206,宣武门,150995462,14,,2,,319,463,,1,1,
CZ20181213006,2,207,0207,和平门,150995463,13,,1,,361,463,,1,1,
CZ20181213006,2,208,0208,前门,150995464,12,,1,,409,463,,1,1,
CZ20181213006,2,209,0209,崇文门,150995465,11,,2,,456,463,,1,1,
CZ20181213006,2,210,0210,北京站,150995466,10,,1,,491,463,,1,1,
CZ20181213006,2,211,0211,建国门,150995467,9,,2,,491,421,,1,1,
CZ20181213006,2,212,0212,朝阳门,150995468,8,,2,,491,392,,1,1,
CZ20181213006,2,213,0213,东四十条,150995469,7,,1,,491,363,,1,1,
CZ20181213006,2,214,0214,东直门,150995470,6,,2,,491,336,,1,1,
CZ20181213006,2,215,0215,雍和宫,150995471,5,,2,,456,305,,1,1,
CZ20181213006,2,216,0216,安定门,150995472,4,,1,,406,305,,1,1,
CZ20181213006,2,217,0217,鼓楼大街,150995473,3,,2,,352,305,,1,1,
CZ20181213006,2,218,0218,积水潭,150995474,2,,1,,302,305,,1,1,
CZ20181213006,4,421,0421,安河桥北,150995989,1,,1,,104,138,,1,1,
CZ20181213006,4,423,0423,北宫门,150995991,2,,1,,133,138,,1,1,
CZ20181213006,4,425,0425,西苑,150995993,3,,2,,166,138,,1,1,
CZ20181213006,4,427,0427,圆明园,150995995,4,,1,,194,138,,1,1,
CZ20181213006,4,429,0429,北京大学东门,150995997,5,,1,,194,170,,1,1,
CZ20181213006,4,431,0431,中关村,150995999,6,,1,,194,194,,1,1,
CZ20181213006,4,433,0433,海淀黄庄,150996001,7,,2,,194,235,,1,1,
CZ20181213006,4,435,0435,人民大学,150996003,8,,1,,194,275,,1,1,
CZ20181213006,4,437,0437,魏公村,150996005,9,,1,,194,300,,1,1,
CZ20181213006,4,439,0439,国家图书馆,150996007,10,,2,,194,338,,1,1,
CZ20181213006,4,441,0441,动物园,150996009,11,,1,,238,339,,1,1,
CZ20181213006,4,443,0443,西直门,150996011,12,,2,,276,339,,1,1,
CZ20181213006,4,445,0445,新街口,150996013,13,,1,,319,339,,1,1,
CZ20181213006,4,447,0447,平安里,150996015,14,,2,,319,360,,1,1,
CZ20181213006,4,449,0449,西四,150996017,15,,1,,319,377,,1,1,
CZ20181213006,4,451,0451,灵境胡同,150996019,16,,1,,319,400,,1,1,
CZ20181213006,4,453,0453,西单,150996021,17,,2,,319,421,,1,1,
CZ20181213006,4,455,0455,宣武门,150996023,18,,2,,319,463,,1,1,
CZ20181213006,4,457,0457,菜市口,150996025,19,,2,,319,482,,1,1,
CZ20181213006,4,459,0459,陶然亭,150996027,20,,1,,319,499,,1,1,
CZ20181213006,4,461,0461,北京南站,150996029,21,,2,,319,516,,1,1,
CZ20181213006,4,463,0463,马家堡,150996031,22,,1,,319,532,,1,1,
CZ20181213006,4,465,0465,角门西,150996033,23,,2,,319,554,,1,1,
CZ20181213006,4,467,0467,公益西桥,150996035,24,,2,,319,575,,1,1,
CZ20181213006,5,521,0521,天通苑北,150996245,1,,1,,456,39,,1,1,
CZ20181213006,5,523,0523,天通苑,150996247,2,,1,,456,67,,1,1,
