LINECODE,STARTSTATION,TERMINALSTATION,SECTIONDISTANCE,RUNNINGTIME,DIRECTION
1,103,104,2606,220,0
1,104,105,1921,150,0
1,105,106,1953,150,0
1,106,107,1479,120,0
1,107,108,1810,140,0
1,108,109,1778,130,0
1,109,110,1313,100,0
1,110,111,1172,100,0
1,111,112,1166,100,0
1,112,113,1291,120,0
1,113,114,424,80,0
1,114,115,1590,120,0
1,115,116,1217,90,0
1,116,117,925,90,0
1,117,118,852,90,0
1,118,119,774,80,0
1,119,120,1230,110,0
1,120,121,1377,120,0
1,121,122,790,70,0
1,122,123,1385,120,0
1,123,124,1673,150,0
1,124,125,1714,150,0
2,201,202,909,83,0
2,202,203,960,83,0
2,203,204,1832,137,0
2,204,205,1234,116,0
2,205,206,929,87,0
2,206,207,851,86,0
2,207,208,1171,97,0
2,208,209,1634,123,0
2,209,210,1023,112,0
2,210,211,945,101,0
2,211,212,1763,127,0
2,212,213,1027,88,0
2,213,214,824,77,0
2,214,215,2228,172,0
2,215,216,794,77,0
2,216,217,1237,99,0
2,217,218,1766,127,0
2,218,201,1899,158,0
4,423,421,1363,109,0
4,425,423,1251,96,0
4,427,425,1672,123,0
4,429,427,1295,108,0
4,431,429,887,77,0
4,433,431,900,81,0
4,435,433,1063,84,0
4,437,435,1051,84,0
4,439,437,1658,116,0
4,441,439,1517,121,0
4,443,441,1441,113,0
4,445,443,1025,84,0
4,447,445,1100,95,0
4,449,447,1100,87,0
4,451,449,869,75,0
4,453,451,1011,87,0
4,455,453,815,75,0
4,457,455,1152,88,0
4,459,457,1200,97,0
4,461,459,1643,133,0
4,463,461,1480,115,0
4,465,463,827,73,0
4,467,465,989,80,0
5,523,521,939,85,0
5,525,523,965,86,0
5,527,525,1544,120,0
5,529,527,1305,122,0
5,531,529,1286,110,0
5,533,531,3000,180,0
5,535,533,1838,133,0
5,537,535,1122,99,0
5,539,537,1025,89,0
5,541,539,1059,93,0
5,543,541,1151,98,0
5,545,543,866,81,0
5,547,545,791,78,0
5,549,547,1016,89,0
5,551,549,848,81,0
5,553,551,945,83,0
5,555,553,821,79,0
5,557,555,876,80,0
5,559,557,1183,98,0
5,561,559,1900,133,0
5,563,561,905,81,0
5,565,563,1670,136,0
6,621,623,1508,121,0
6,623,625,1431,111,0
6,625,627,1166,96,0
6,627,631,1664,126,0
6,631,633,887,84,0
6,633,635,1443,108,0
6,635,637,1321,105,0
6,637,639,1349,106,0
6,639,641,1937,165,0
6,641,643,1399,106,0
6,643,645,1668,117,0
6,645,647,845,82,0
6,647,649,1450,108,0
6,649,651,2036,132,0
6,651,653,1282,102,0
6,653,655,3999,214,0
6,655,657,1238,100,0
6,657,659,1854,123,0
6,659,661,1405,120,0
6,661,663,2115,137,0
6,663,665,2557,163,0
6,665,667,1468,126,0
6,667,669,1543,114,0
6,669,671,1599,112,0
6,671,673,929,84,0
6,673,675,1346,103,0
6,675,677,1194,100,0
7,721,723,935,117,0
7,723,725,734,77,0
7,725,727,1874,132,0
7,727,729,1373,110,0
7,729,731,885,85,0
7,731,733,1205,98,0
7,733,735,869,83,0
